time,close,fractal,gatorJaw,gatorTeeth,gatorLips,sma,smma
2020-04-30T23:00:00.000Z,5.92,-1,6.201488461538461,6.674375,6.4921500000000005,6.346666666666667,5.92
2020-05-03T23:00:00.000Z,6.06,1,6.295911538461538,6.5921875,6.463150000000001,6.291111111111111,6.06
2020-05-04T23:00:00.000Z,5.91,-1,6.4174500000000005,6.54821875,6.39315,6.220000000000001,5.91
2020-05-05T23:00:00.000Z,6.04,0,6.4871961538461544,6.51634375,6.3401499999999995,6.166666666666668,6.04
2020-05-06T23:00:00.000Z,6.28,0,6.5570038461538465,6.47321875,6.218649999999999,6.170000000000001,6.28
2020-05-07T23:00:00.000Z,6.39,0,6.603023076923076,6.41134375,6.153599999999999,6.166666666666667,6.39
2020-05-10T23:00:00.000Z,6.71,1,6.618026923076924,6.3232187500000006,6.0836,6.2011111111111115,6.71
2020-05-11T23:00:00.000Z,6.7,0,6.610334615384616,6.258593749999999,6.0565999999999995,6.243333333333334,6.7
2020-05-12T23:00:00.000Z,6.29,-1,6.545826923076924,6.20921875,6.0876,6.255555555555556,6.29
2020-05-13T23:00:00.000Z,6.4,0,6.448519230769231,6.173281249999999,6.2176,6.308888888888889,6.4
2020-05-14T23:00:00.000Z,6.59,1,6.396442307692307,6.158499999999999,6.377000000000001,6.367777777777778,6.59
2020-05-17T23:00:00.000Z,6.48,-1,6.349903846153846,6.1697500000000005,6.44938,6.431111111111112,6.48
2020-05-18T23:00:00.000Z,6.69,0,6.3129807692307685,6.2485,6.4833799999999995,6.503333333333334,6.69
2020-05-19T23:00:00.000Z,6.92,1,6.286826923076922,6.277487499999999,6.53138,6.5744444444444445,6.92
2020-05-20T23:00:00.000Z,6.75,0,6.2825961538461526,6.338737500000001,6.594379999999999,6.614444444444445,6.75
2020-05-21T23:00:00.000Z,6.65,0,6.304134615384614,6.3946125,6.53138,6.607777777777778,6.65
2020-05-25T23:00:00.000Z,6.27,-1,6.301588461538461,6.4889874999999995,6.619,6.5600000000000005,6.27
2020-05-26T23:00:00.000Z,6.33,0,6.292549999999999,6.5452375,6.708,6.564444444444444,6.33
2020-05-27T23:00:00.000Z,6.38,0,6.301915384615384,6.6096125,6.742999999999999,6.562222222222221,6.38
2020-05-28T23:00:00.000Z,6.55,0,6.333069230769231,6.6452374999999995,6.6739999999999995,6.557777777777778,6.55
2020-05-31T23:00:00.000Z,6.71,0,6.3573,6.6233625,6.6228,6.583333333333333,6.71
2020-06-01T23:00:00.000Z,7.4,1,6.408838461538461,6.629375,6.5508,6.662222222222223,7.4
2020-06-02T23:00:00.000Z,7.29,-1,6.48076153846154,6.632375,6.4898,6.703333333333333,7.29
2020-06-03T23:00:00.000Z,7.35,0,6.528607692307693,6.62175,6.472799999999999,6.77,7.35
2020-06-04T23:00:00.000Z,7.44,1,6.560146153846154,6.5798749999999995,6.6068,6.857777777777778,7.44
2020-06-07T23:00:00.000Z,7.32,0,6.57506923076923,6.586749999999999,6.79054,6.974444444444445,7.32
2020-06-08T23:00:00.000Z,7.29,0,6.586992307692308,6.62175,6.9355400000000005,7.0811111111111105,7.29
2020-06-09T23:00:00.000Z,6.9,0,6.585453846153845,6.6839625,7.128629999999999,7.138888888888889,6.9
2020-06-10T23:00:00.000Z,6.4,-1,6.565453846153845,6.7420875,7.28763,7.122222222222222,6.4
2020-06-11T23:00:00.000Z,6.73,0,6.620692307692307,6.8640187500000005,7.32663,7.1244444444444435,6.73
2020-06-14T23:00:00.000Z,6.88,1,6.693207692307693,7.002268750000001,7.3040899999999995,7.066666666666666,6.88
2020-06-15T23:00:00.000Z,6.76,-1,6.742438461538461,7.106643750000001,7.17422,7.007777777777777,6.76
2020-06-16T23:00:00.000Z,7.39,0,6.790934615384615,7.19289375,7.0321299999999995,7.012222222222222,7.39
2020-06-17T23:00:00.000Z,8.08,0,6.85631923076923,7.180475,6.881130000000001,7.083333333333333,8.08
2020-06-18T23:00:00.000Z,8.15,0,6.892857692307691,7.129849999999999,6.79163,7.1755555555555555,8.15
2020-06-21T23:00:00.000Z,8.77,1,6.922473076923077,7.058887499999999,6.857629999999999,7.34,8.77
2020-06-22T23:00:00.000Z,8.49,-1,6.908292307692308,7.016699999999999,7.106559999999999,7.516666666666666,8.49
2020-06-23T23:00:00.000Z,8.72,0,6.928676923076923,7.023518749999999,7.448559999999999,7.774444444444445,8.72
2020-06-24T23:00:00.000Z,8.755,1,6.955676923076923,7.06730625,7.843559999999999,7.999444444444445,8.755
2020-06-25T23:00:00.000Z,8.75,0,6.985484615384616,7.20605625,8.17156,8.20722222222222,8.75
2020-06-28T23:00:00.000Z,8.19,-1,7.063946153846152,7.396056249999999,8.38224,8.366111111111111,8.19
2020-06-29T23:00:00.000Z,8.29,0,7.152046153846153,7.6400375,8.567730000000001,8.466111111111111,8.29
2020-06-30T23:00:00.000Z,8.46,0,7.252430769230768,7.867337499999999,8.63673,8.508333333333335,8.46
2020-07-01T23:00:00.000Z,9.55,0,7.360684615384614,8.121431249999999,8.590730000000002,8.663888888888888,9.55
2020-07-05T23:00:00.000Z,9.84,0,7.460876923076923,8.35924375,8.52723,8.782777777777778,9.84
2020-07-06T23:00:00.000Z,11.11,1,7.546103846153845,8.47924375,8.51355,9.07388888888889,11.11
2020-07-07T23:00:00.000Z,10.71,0,7.644392307692308,8.52795625,8.625,9.295,10.71
2020-07-08T23:00:00.000Z,10.45,-1,7.756315384615385,8.532956250000002,8.833,9.483333333333334,10.45
2020-07-09T23:00:00.000Z,10.52,1,7.855546153846154,8.609831250000001,9.290000000000001,9.68,10.52
2020-07-12T23:00:00.000Z,9.87,0,7.981265384615385,8.77264375,9.853,9.866666666666667,9.87
2020-07-13T23:00:00.000Z,9.56,-1,8.115880769230769,9.046593750000001,10.245000000000001,10.007777777777779,9.56
2020-07-14T23:00:00.000Z,9.84,0,8.315111538461538,9.33125,10.544,10.161111111111111,9.84
2020-07-15T23:00:00.000Z,10.84,0,8.541457692307691,9.538124999999999,10.606,10.304444444444444,10.84
2020-07-16T23:00:00.000Z,11.41,1,8.791073076923077,9.830625000000001,10.383000000000001,10.478888888888887,11.41
2020-07-19T23:00:00.000Z,10.92,-1,9.037588461538462,10.071875,10.116000000000001,10.457777777777778,10.92
2020-07-20T23:00:00.000Z,10.95,1,9.191434615384617,10.215,10.120999999999999,10.484444444444444,10.95
2020-07-21T23:00:00.000Z,10.22,-1,9.353742307692308,10.263124999999999,10.228,10.45888888888889,10.22
2020-07-22T23:00:00.000Z,10.29,1,9.477780769230769,10.343125,10.455,10.433333333333334,10.29
2020-07-23T23:00:00.000Z,10.05,-1,9.560596153846156,10.416875000000001,10.7185,10.453333333333333,10.05
2020-07-26T23:00:00.000Z,10.32,0,9.633076923076924,10.448125000000001,10.9075,10.537777777777778,10.32
2020-07-27T23:00:00.000Z,10.33,0,9.762307692307692,10.510937499999999,10.8995,10.592222222222222,10.33
2020-07-28T23:00:00.000Z,10.55,0,9.983461538461539,10.4903125,10.6345,10.559999999999999,10.55
2020-07-29T23:00:00.000Z,10.7,0,10.21923076923077,10.5265625,10.4685,10.481111111111112,10.7
2020-07-30T23:00:00.000Z,10.87,0,10.408653846153847,10.5740625,10.35008,10.475555555555557,10.87
2020-08-02T23:00:00.000Z,11.16,1,10.510961538461537,10.6684375,10.353069999999999,10.498888888888889,11.16
2020-08-03T23:00:00.000Z,11.15,0,10.557115384615384,10.6541125,10.425569999999999,10.602222222222224,11.15
2020-08-04T23:00:00.000Z,11.02,-1,10.500576923076922,10.56848125,10.61357,10.683333333333334,11.02
2020-08-05T23:00:00.000Z,11.95,0,10.455961538461539,10.50816875,10.763570000000001,10.894444444444444,11.95
2020-08-06T23:00:00.000Z,11.95,0,10.44906923076923,10.508481249999999,10.917489999999999,11.075555555555557,11.95
2020-08-09T23:00:00.000Z,12.53,1,10.437526923076923,10.57848125,11.00229,11.32,12.53
2020-08-10T23:00:00.000Z,12.3,0,10.487719230769232,10.665356249999999,11.192789999999999,11.514444444444445,12.3
2020-08-11T23:00:00.000Z,12.12,0,10.589257692307692,10.79835,11.48279,11.672222222222224,12.12
2020-08-12T23:00:00.000Z,11.965,0,10.705026923076922,10.96085,11.77079,11.79388888888889,11.965
2020-08-13T23:00:00.000Z,11.35,0,10.755411538461537,11.216425,12.08279,11.815000000000001,11.35
2020-08-16T23:00:00.000Z,10.68,-1,10.735330769230767,11.46455625,12.315,11.762777777777778,10.68
2020-08-17T23:00:00.000Z,11,1,10.771484615384614,11.70111875,12.369,11.760555555555555,11
2020-08-18T23:00:00.000Z,10.63,-1,10.883215384615385,11.861743749999999,12.20954,11.613888888888887,10.63
2020-08-19T23:00:00.000Z,10.72,1,11.03706153846154,11.96424375,11.88054,11.47722222222222,10.72
2020-08-20T23:00:00.000Z,10.33,0,11.210523076923076,12.023956250000001,11.56554,11.232777777777777,10.33
2020-08-23T23:00:00.000Z,9.97,-1,11.381676923076924,12.0134625,11.282340000000001,10.973888888888888,9.97
2020-08-24T23:00:00.000Z,10.22,1,11.502446153846154,11.9340875,11.021980000000001,10.762777777777778,10.22
2020-08-25T23:00:00.000Z,10.03,0,11.598392307692308,11.7364625,10.79834,10.547777777777778,10.03
2020-08-26T23:00:00.000Z,9.7,0,11.62455,11.496237499999998,10.663079999999999,10.364444444444445,9.7
2020-08-27T23:00:00.000Z,9.55,-1,11.648973076923077,11.221175,10.46908,10.238888888888887,9.55
2020-08-30T23:00:00.000Z,9.57,1,11.638896153846154,10.981012500000002,10.353370000000002,10.08,9.57
2020-08-31T23:00:00.000Z,9.31,0,11.601834615384616,10.7466375,10.202729999999999,9.933333333333334,9.31
2020-09-01T23:00:00.000Z,9.3,0,11.552565384615386,10.57635625,10.00883,9.775555555555556,9.3
2020-09-02T23:00:00.000Z,8.96,0,11.494084615384615,10.44760625,9.83208,9.623333333333331,8.96
2020-09-03T23:00:00.000Z,8.82,0,11.370623076923078,10.24823125,9.69508,9.495555555555557,8.82
2020-09-07T23:00:00.000Z,8.35,-1,11.204503846153848,10.0746,9.52699,9.287777777777775,8.35
2020-09-08T23:00:00.000Z,8.99,0,10.998734615384613,9.917325000000002,9.35098,9.172222222222222,8.99
2020-09-09T23:00:00.000Z,9.02,0,10.75488846153846,9.7817625,9.16162,9.096666666666668,9.02
2020-09-10T23:00:00.000Z,9.42,0,10.539115384615387,9.62754375,8.99563,9.082222222222223,9.42
2020-09-13T23:00:00.000Z,9.8,1,10.342192307692308,9.43106875,8.872619999999998,9.107777777777777,9.8
2020-09-14T23:00:00.000Z,9.53,0,10.172753846153846,9.2260125,8.83062,9.132222222222222,9.53
2020-09-15T23:00:00.000Z,9.14,-1,10.025826923076922,9.086006249999999,8.89763,9.114444444444445,9.14
2020-09-16T23:00:00.000Z,9.18,0,9.830303846153846,9.045381249999998,9.097010000000001,9.13888888888889,9.18
2020-09-17T23:00:00.000Z,9.55,1,9.65961153846154,9.043512499999999,9.34302,9.22,9.55
2020-09-20T23:00:00.000Z,9,0,9.515515384615385,9.057274999999999,9.44703,9.292222222222223,9
2020-09-21T23:00:00.000Z,8.79,0,9.415938461538461,9.111031249999998,9.42203,9.270000000000001,8.79
