timestamp,open,high,low,close,volume
2020-07-29,2.5500,2.6900,2.4650,2.6500,3379763
2020-07-28,2.5700,2.7400,2.4000,2.5900,5488900
2020-07-27,2.7400,2.7400,2.4000,2.5000,10303965
2020-07-24,2.1500,2.4000,1.9800,2.4000,4836959
2020-07-23,2.3100,2.5000,2.0400,2.1300,6206342
2020-07-22,2.5000,2.6000,2.2500,2.2700,5282895
2020-07-21,2.3500,2.9500,2.3400,2.4200,13660974
2020-07-20,1.9500,2.3300,1.9100,2.2600,8766554
2020-07-17,1.8900,1.9200,1.8300,1.9200,1873355
2020-07-16,1.9000,1.9400,1.8300,1.8600,1916797
2020-07-15,1.8500,2.1400,1.8000,1.9300,5695044
2020-07-14,1.8300,1.8700,1.7700,1.8400,2348653
2020-07-13,1.9300,1.9300,1.7700,1.7900,3277809
2020-07-10,1.9500,1.9500,1.8300,1.8600,2454224
2020-07-09,1.9500,1.9500,1.8800,1.9300,2802555
2020-07-08,1.8800,1.9850,1.8400,1.9600,3341020
2020-07-07,1.9100,1.9500,1.8000,1.8200,1659768
2020-07-06,1.9200,2.0000,1.8650,1.9600,2612836
2020-07-02,1.9100,1.9100,1.8100,1.8100,1599750
2020-07-01,1.8900,1.9500,1.8500,1.8800,1155467
2020-06-30,1.8700,1.9250,1.8500,1.9000,1274549
2020-06-29,1.8500,1.8800,1.7600,1.8500,1176416
2020-06-26,1.9400,1.9400,1.8800,1.8900,1190394
2020-06-25,1.9500,1.9700,1.9100,1.9372,896925
2020-06-24,2.0400,2.0500,1.9000,1.9400,2616597
2020-06-23,2.1400,2.1500,2.0200,2.1200,1766099
2020-06-22,1.9200,2.2700,1.9000,2.0900,4313772
2020-06-19,1.9800,1.9800,1.8800,1.9000,3994973
2020-06-18,1.9700,1.9799,1.8550,1.9200,4428643
2020-06-17,2.0000,2.0099,1.9100,1.9300,4547979
2020-06-16,2.0300,2.0900,1.9400,2.0200,2586087
2020-06-15,2.0200,2.0800,1.9200,1.9800,3715308
2020-06-12,2.1900,2.2200,2.0350,2.0600,2946236
2020-06-11,2.1500,2.2700,2.1000,2.1200,2427305
2020-06-10,2.5400,2.5800,2.2000,2.4200,4401109
2020-06-09,2.1500,2.5200,2.1300,2.4500,7816286
2020-06-08,2.1700,2.1800,2.0400,2.1200,3273669
2020-06-05,2.1600,2.2200,2.0300,2.1200,2815305
2020-06-04,2.4100,2.4500,2.1200,2.1500,4389690
2020-06-03,2.5300,2.8000,2.3800,2.4100,4606266
2020-06-02,2.2500,3.2500,2.1500,2.4900,11489966
2020-06-01,2.5000,2.5000,2.0000,2.1200,3379974
2020-05-29,2.8200,2.8500,2.3600,2.3600,2792125
2020-05-28,3.1400,3.1500,2.7600,2.9100,2188327
2020-05-27,3.3600,3.4500,2.9400,3.0000,1415539
2020-05-26,3.8200,3.9799,3.3500,3.3600,707483
2020-05-22,3.9600,3.9600,3.7500,3.8200,339594
2020-05-21,3.9500,4.1500,3.7500,3.9900,372155
2020-05-20,4.4000,4.5000,4.1200,4.2000,220011
2020-05-19,4.5000,4.6000,4.2500,4.3700,247104
2020-05-18,4.5000,4.8400,4.4401,4.4500,429626
2020-05-15,5.5900,5.7601,4.0000,4.3900,1401310
2020-05-14,5.9300,5.9800,5.3900,5.9700,459865
2020-05-13,5.8700,6.0000,5.5600,5.9900,356545
2020-05-12,5.7000,5.7900,5.4000,5.7300,459503
2020-05-11,5.8500,5.8900,5.2000,5.3900,623948
2020-05-08,5.9500,5.9900,5.5500,5.8900,904846
2020-05-07,5.1500,5.8000,5.1000,5.8000,1150861
2020-05-06,4.8200,5.1400,4.8200,5.0400,655296
2020-05-05,4.8500,4.8500,4.6000,4.6900,169765
2020-05-04,4.6300,4.8400,4.5000,4.6300,254745
2020-05-01,5.1800,5.2300,4.5600,4.6000,269583
2020-04-30,4.9200,5.2400,4.7600,5.1800,427904
2020-04-29,4.9500,4.9900,4.6600,4.7600,462359
2020-04-28,4.4800,4.6700,4.3200,4.6500,331691
2020-04-27,4.3400,4.4900,4.2500,4.4400,224627
2020-04-24,4.4800,4.4800,4.1100,4.2300,215788
2020-04-23,4.4400,4.5800,4.2800,4.4300,322248
2020-04-22,4.3400,4.4500,4.2000,4.2800,114205
2020-04-21,4.3600,4.4000,4.2500,4.2700,141743
2020-04-20,4.8500,4.8500,4.1500,4.1700,280725
2020-04-17,4.7000,4.7000,4.4600,4.6800,183283
2020-04-16,4.6600,4.8500,4.3500,4.4400,174432
2020-04-15,4.5000,4.5741,4.1000,4.1500,268732
2020-04-14,4.4000,4.9800,4.3000,4.6000,935061
2020-04-13,3.5800,4.3300,3.2500,4.0300,554589
2020-04-09,3.6800,3.6800,3.1000,3.2000,303794
2020-04-08,3.7200,3.7371,3.4450,3.5200,96118
2020-04-07,3.9900,3.9900,3.4300,3.5000,223687
2020-04-06,3.0700,3.6900,3.0555,3.5200,405902
2020-04-03,3.0200,3.0350,2.8700,2.8800,73936
2020-04-02,2.8900,3.0200,2.8700,2.9400,199570
2020-04-01,2.9400,3.0200,2.8700,2.8700,143633
2020-03-31,2.9500,3.0900,2.8500,3.0400,115255
2020-03-30,3.0100,3.0200,2.8800,2.9000,324846
2020-03-27,2.9800,3.1800,2.9500,3.0500,410714
2020-03-26,3.0000,3.1300,2.9500,3.0600,344328
2020-03-25,2.9800,3.1700,2.9800,2.9800,246049
2020-03-24,3.1500,3.1800,2.9000,2.9500,639530
2020-03-23,3.1700,3.1700,2.8600,3.0500,578866
2020-03-20,3.4500,3.5800,2.9600,3.1100,247491
2020-03-19,3.0100,3.2700,2.7500,3.2700,292026
2020-03-18,2.7300,3.1000,2.5300,3.0100,428322
2020-03-17,2.8600,2.9500,2.6900,2.8100,401245
2020-03-16,3.0000,3.2300,2.8600,2.8800,714771
2020-03-13,3.4600,3.5475,3.3600,3.3700,285810
